filename,classification,old_filename,generator
ccbcb5187879ea5f9ef2871e59b94651.jpeg,fake,sd_portrait3_053.png,Stable Diffusion
eaef1ce47d4afebf42b1a93fcf502386.jpeg,fake,mj_portrait3_030.png,Midjourney
v7ghcav7ghcav7gh.jpeg,fake,,Nano Banana Pro
2c4c0b171577884f5c0991cacb5c5ebc_r1.jpeg,fake,Permutations,Stable Diffusion
4pwf294pwf294pwf.jpeg,fake,,Nano Banana Pro
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r2.jpeg,fake,Permutations,Stable Diffusion
b289c80bdf2d5092fffe0e53d927af2c.jpeg,fake,mj_fullbody3_026.png,Midjourney
04ed7ba99198264f5405056b941a4d3c.jpeg,fake,mj_ng4_005.png,Midjourney
04e61d9506ffe1d8ac6c48e8b091cc48.jpeg,fake,sd_ng3_003.png,Stable Diffusion
ozrpf8ozrpf8ozrp.jpeg,fake,,Nano Banana Pro
me07oqme07oqme07.jpeg,fake,,Nano Banana Pro
0d003053cff1c844a1a733b02ea73606.jpeg,fake,mj_portrait3_019.png,Midjourney
fe7ovxfe7ovxfe7o.jpeg,fake,,Nano Banana Pro
4ca91e737979369e37478c4f4ec6e84e_r9.jpeg,fake,Permutations,Midjourney
2ad2e05330051435a8976d2f72819b57.jpeg,fake,ff_fullbody3_011.jpeg,Adobe Firefly
4ca91e737979369e37478c4f4ec6e84e_r4.jpeg,fake,Permutations,Midjourney
53805809adf9a3d8d0d33c71253fe7eb.jpeg,fake,sd_fullbody3_003.jpg,Stable Diffusion
h1gpeyh1gpeyh1gp.jpeg,fake,,Nano Banana Pro
7xld4y7xld4y7xld.jpeg,fake,,Nano Banana Pro
2ebd5194c37a818d1805082c34065c30.jpeg,fake,sd_pg3_006.png,Stable Diffusion
7isuvh7isuvh7isu.jpeg,fake,,Nano Banana Pro
0b5a6fe395e6652f45b8bdab691c28adc961287d6ecc86ca1f739abcfe584ed2.jpeg,fake,mj_portrait1_003.png,Midjourney
2aee09d253a4606d2b5b4a630fbd6b834074ae2a91a3dd28e361eb8dadafad24_r11.jpeg,fake,Permutations,Adobe Firefly
5bd35cd9932265235fd90b3daf32c65d.jpeg,fake,mj_fullbody1_007.png,Midjourney
637d149bc1ccd8dedacdf37530cf408e.jpeg,fake,sd_portrait3_027.png,Stable Diffusion
0bce6c35c24ec5ce8ae8ad5bb4f67d59_r1.jpeg,fake,Permutations,Stable Diffusion
e566b28a9429f693defb306c191d05a6.jpeg,fake,mj_pg2_011.png,Midjourney
1e4cc5c247a3bdf572d4969c07992b34.jpeg,fake,ff_pg3_010.jpeg,Adobe Firefly
149af80e3cf3af0e46ab47863eb7b03e.jpeg,fake,mj_ng4_004.png,Midjourney
86ae36214222e367f9bc162308095ada_r12.jpeg,fake,Permutations,Midjourney
616ba73f50088eb13244a807076248f7.jpeg,fake,mj_portrait3_018.png,Midjourney
2df3e5ecf2315ee61ffe3c566e125c8a.jpeg,fake,ff_ng3_015.jpeg,Adobe Firefly
5d04c3a88fe8c5d2d7c7a8877e7880fe.jpeg,fake,sd_portrait4_001.jpg,Stable Diffusion
3ae4bd2508eb036a3df769348af8e8e8.jpeg,fake,mj_pg2_009.png,Midjourney
2ddf7a07da956c375d9d512cf876bd871f5a3150db7b68b7ef25c1c91a694238_r6.jpeg,fake,Permutations,Adobe Firefly
